VALIDACIONES PRESENCIALES NORMALIZADAS A 24H
Fuente: DOCX/CSV locales procesados por FincaDiag.
Nota: este archivo es canónico para revisión humana; el motor ya normaliza internamente estas horas.

## 2026-04-06 PM
Ventana de ordeño: 13:06 - 14:08
Vacas registradas: 19
Vaca 747 | entrada 13:20:45 | tag 13:20:46 | salida 13:26 | rfid si | flujo si | doc validacion_visita_6_4_2026.docx
Vaca 756 | entrada 13:20:46 | tag 13:20:47 | salida 13:27 | rfid si | flujo si | doc validacion_visita_6_4_2026.docx
Vaca 696 | entrada 13:21:25 | tag 13:21:26 | salida 13:29 | rfid dudoso | flujo dudoso | doc validacion_visita_6_4_2026.docx
Vaca 757 | entrada 13:25:35 | tag 13:25:37 | salida 13:36 | rfid si | flujo si | doc validacion_visita_6_4_2026.docx
Vaca 773 | entrada 13:25:40 | tag 13:25:42 | salida 13:36 | rfid si | flujo si | doc validacion_visita_6_4_2026.docx
Vaca 748 | entrada 13:25:45 | tag 13:25:46 | salida 13:36 | rfid si | flujo si | doc validacion_visita_6_4_2026.docx
Vaca 573 | entrada 13:31:28 | tag 13:31:30 | salida 13:42 | rfid si | flujo si | doc validacion_visita_6_4_2026.docx
Vaca 758 | entrada 13:31:30 | tag 13:31:31 | salida 13:42 | rfid si | flujo si | doc validacion_visita_6_4_2026.docx
Vaca 731 | entrada 13:37:52 | tag 13:37:54 | salida 13:46 | rfid si | flujo si | doc validacion_visita_6_4_2026.docx
Vaca 777 | entrada 13:37:55 | tag 13:37:56 | salida 13:46 | rfid si | flujo si | doc validacion_visita_6_4_2026.docx
Vaca 446 | entrada 13:38:10 | tag 13:38:12 | salida 13:51 | rfid si | flujo si | doc validacion_visita_6_4_2026.docx
Vaca 432 | entrada 13:45:20 | tag 14:01:20 | salida 14:06 | rfid dudoso | flujo dudoso | doc validacion_visita_6_4_2026.docx
Vaca 636 | entrada 13:45:30 | tag 13:45:32 | salida 13:57 | rfid si | flujo si | doc validacion_visita_6_4_2026.docx
Vaca 460 | entrada 13:45:32 | tag 13:45:34 | salida 13:54 | rfid si | flujo si | doc validacion_visita_6_4_2026.docx
Vaca 514 | entrada 13:47:25 | tag 13:50 | salida 13:56 | rfid dudoso | flujo dudoso | doc validacion_visita_6_4_2026.docx
Vaca 538 | entrada 13:47:30 | tag 13:50 | salida 13:56 | rfid dudoso | flujo dudoso | doc validacion_visita_6_4_2026.docx
Vaca 531 | entrada 13:59:35 | tag 13:59:37 | salida 14:06 | rfid si | flujo si | doc validacion_visita_6_4_2026.docx
Vaca 762 | entrada 13:59:36 | tag 13:59:38 | salida 14:06 | rfid si | flujo si | doc validacion_visita_6_4_2026.docx
Vaca 754 | entrada 13:59:38 | tag 13:59:40 | salida 14:07 | rfid si | flujo si | doc validacion_visita_6_4_2026.docx

## 2026-04-09 PM
Ventana de ordeño: 13:15 - 14:37
Vacas registradas: 17
Vaca 748 | entrada 13:42:30 | tag 13:42:32 | salida 13:54 | rfid si | flujo si | doc validacion_visita_9_4_2026.docx
Vaca 747 | entrada 13:42:34 | tag 13:42:36 | salida 13:54 | rfid si | flujo si | doc validacion_visita_9_4_2026.docx
Vaca 731 | entrada 13:42:38 | tag 13:42:40 | salida 13:54 | rfid si | flujo si | doc validacion_visita_9_4_2026.docx
Vaca 756 | entrada 13:50:40 | tag 13:50:41 | salida 13:56 | rfid si | flujo si | doc validacion_visita_9_4_2026.docx
Vaca 778 | entrada 13:50:42 | tag 13:53 | salida 14:01 | rfid dudoso | flujo dudoso | doc validacion_visita_9_4_2026.docx
Vaca 432 | entrada 13:50:43 | tag 13:50:45 | salida 14:02 | rfid dudoso | flujo dudoso | doc validacion_visita_9_4_2026.docx
Vaca 460 | entrada 13:55:25 | tag 13:55:27 | salida 14:04:55 | rfid si | flujo si | doc validacion_visita_9_4_2026.docx
